date,store_id,product_id,quantity_sold,revenue
2026-06-01,S001,P001,4,1996.0
2026-06-01,S001,P002,1,1499.0
2026-06-01,S001,P003,3,14997.0
2026-06-01,S001,P004,3,7497.0
2026-06-01,S001,P014,1,1299.0
2026-06-01,S001,P015,2,7798.0
2026-06-01,S001,P005,6,3900.0
2026-06-01,S001,P006,4,3400.0
2026-06-01,S001,P007,5,450.0
2026-06-01,S001,P008,4,1360.0
2026-06-01,S001,P016,8,1440.0
2026-06-01,S001,P009,6,2394.0
2026-06-01,S001,P010,6,3120.0
2026-06-01,S001,P011,5,2250.0
2026-06-01,S001,P012,4,1120.0
2026-06-01,S001,P017,4,3560.0
2026-06-01,S001,P013,2,700.0
2026-06-01,S001,P018,5,2750.0
2026-06-01,S001,P020,7,2093.0
2026-06-01,S001,P021,1,99.0
2026-06-01,S001,P022,5,800.0
2026-06-01,S001,P019,2,900.0
2026-06-01,S001,P023,2,1198.0
2026-06-01,S001,P024,6,4794.0
2026-06-01,S001,P025,3,2097.0
2026-06-01,S001,P026,4,3596.0
2026-06-01,S001,P027,3,5697.0
2026-06-01,S001,P028,5,2495.0
2026-06-01,S001,P029,5,1250.0
2026-06-01,S001,P030,1,149.0
2026-06-01,S001,P031,1,320.0
2026-06-01,S001,P032,3,2550.0
2026-06-01,S002,P001,2,998.0
2026-06-01,S002,P002,2,2998.0
2026-06-01,S002,P003,3,14997.0
2026-06-01,S002,P004,1,2499.0
2026-06-01,S002,P014,3,3897.0
2026-06-01,S002,P015,2,7798.0
2026-06-01,S002,P005,5,3250.0
2026-06-01,S002,P006,3,2550.0
2026-06-01,S002,P007,8,720.0
2026-06-01,S002,P008,10,3400.0
2026-06-01,S002,P016,3,540.0
2026-06-01,S002,P009,2,798.0
2026-06-01,S002,P010,5,2600.0
2026-06-01,S002,P011,7,3150.0
2026-06-01,S002,P012,6,1680.0
2026-06-01,S002,P017,6,5340.0
2026-06-01,S002,P013,0,0.0
2026-06-01,S002,P018,6,3300.0
2026-06-01,S002,P020,8,2392.0
2026-06-01,S002,P021,5,495.0
2026-06-01,S002,P022,5,800.0
2026-06-01,S002,P019,8,3600.0
2026-06-01,S002,P023,6,3594.0
2026-06-01,S002,P024,1,799.0
2026-06-01,S002,P025,1,699.0
2026-06-01,S002,P026,2,1798.0
2026-06-01,S002,P027,1,1899.0
2026-06-01,S002,P028,0,0.0
2026-06-01,S002,P029,2,500.0
2026-06-01,S002,P030,3,447.0
2026-06-01,S002,P031,1,320.0
2026-06-01,S002,P032,6,5100.0
2026-06-01,S003,P001,1,499.0
2026-06-01,S003,P002,1,1499.0
2026-06-01,S003,P003,0,0.0
2026-06-01,S003,P004,4,9996.0
2026-06-01,S003,P014,0,0.0
2026-06-01,S003,P015,1,3899.0
2026-06-01,S003,P005,7,4550.0
2026-06-01,S003,P006,3,2550.0
2026-06-01,S003,P007,1,90.0
2026-06-01,S003,P008,3,1020.0
2026-06-01,S003,P016,3,540.0
2026-06-01,S003,P009,4,1596.0
2026-06-01,S003,P010,5,2600.0
2026-06-01,S003,P011,2,900.0
2026-06-01,S003,P012,8,2240.0
2026-06-01,S003,P017,3,2670.0
2026-06-01,S003,P013,1,350.0
2026-06-01,S003,P018,2,1100.0
2026-06-01,S003,P020,2,598.0
2026-06-01,S003,P021,2,198.0
2026-06-01,S003,P022,6,960.0
2026-06-01,S003,P019,4,1800.0
2026-06-01,S003,P023,4,2396.0
2026-06-01,S003,P024,2,1598.0
2026-06-01,S003,P025,4,2796.0
2026-06-01,S003,P026,1,899.0
2026-06-01,S003,P027,0,0.0
2026-06-01,S003,P028,1,499.0
2026-06-01,S003,P029,5,1250.0
2026-06-01,S003,P030,2,298.0
2026-06-01,S003,P031,3,960.0
2026-06-01,S003,P032,1,850.0
2026-06-02,S001,P001,3,1497.0
2026-06-02,S001,P002,1,1499.0
2026-06-02,S001,P003,3,14997.0
2026-06-02,S001,P004,1,2499.0
2026-06-02,S001,P014,2,2598.0
2026-06-02,S001,P015,0,0.0
2026-06-02,S001,P005,9,5850.0
2026-06-02,S001,P006,5,4250.0
2026-06-02,S001,P007,3,270.0
2026-06-02,S001,P008,7,2380.0
2026-06-02,S001,P016,3,540.0
2026-06-02,S001,P009,9,3591.0
2026-06-02,S001,P010,7,3640.0
2026-06-02,S001,P011,6,2700.0
2026-06-02,S001,P012,13,3640.0
2026-06-02,S001,P017,3,2670.0
2026-06-02,S001,P013,5,1750.0
2026-06-02,S001,P018,6,3300.0
2026-06-02,S001,P020,10,2990.0
2026-06-02,S001,P021,6,594.0
2026-06-02,S001,P022,9,1440.0
2026-06-02,S001,P019,0,0.0
2026-06-02,S001,P023,4,2396.0
2026-06-02,S001,P024,0,0.0
2026-06-02,S001,P025,3,2097.0
2026-06-02,S001,P026,5,4495.0
2026-06-02,S001,P027,5,9495.0
2026-06-02,S001,P028,5,2495.0
2026-06-02,S001,P029,1,250.0
2026-06-02,S001,P030,1,149.0
2026-06-02,S001,P031,2,640.0
2026-06-02,S001,P032,4,3400.0
2026-06-02,S002,P001,1,499.0
2026-06-02,S002,P002,1,1499.0
2026-06-02,S002,P003,1,4999.0
2026-06-02,S002,P004,0,0.0
2026-06-02,S002,P014,2,2598.0
2026-06-02,S002,P015,2,7798.0
2026-06-02,S002,P005,5,3250.0
2026-06-02,S002,P006,4,3400.0
2026-06-02,S002,P007,6,540.0
2026-06-02,S002,P008,5,1700.0
2026-06-02,S002,P016,4,720.0
2026-06-02,S002,P009,1,399.0
2026-06-02,S002,P010,4,2080.0
2026-06-02,S002,P011,6,2700.0
2026-06-02,S002,P012,3,840.0
2026-06-02,S002,P017,6,5340.0
2026-06-02,S002,P013,2,700.0
2026-06-02,S002,P018,2,1100.0
2026-06-02,S002,P020,3,897.0
2026-06-02,S002,P021,5,495.0
2026-06-02,S002,P022,2,320.0
2026-06-02,S002,P019,5,2250.0
2026-06-02,S002,P023,2,1198.0
2026-06-02,S002,P024,1,799.0
2026-06-02,S002,P025,3,2097.0
2026-06-02,S002,P026,2,1798.0
2026-06-02,S002,P027,1,1899.0
2026-06-02,S002,P028,2,998.0
2026-06-02,S002,P029,5,1250.0
2026-06-02,S002,P030,5,745.0
2026-06-02,S002,P031,3,960.0
2026-06-02,S002,P032,3,2550.0
