date,store_id,product_id,stock_quantity
2026-06-01,S001,P001,86
2026-06-01,S001,P002,56
2026-06-01,S001,P003,48
2026-06-01,S001,P004,94
2026-06-01,S001,P014,66
2026-06-01,S001,P015,63
2026-06-01,S001,P005,58
2026-06-01,S001,P006,54
2026-06-01,S001,P007,92
2026-06-01,S001,P008,426
2026-06-01,S001,P016,85
2026-06-01,S001,P009,91
2026-06-01,S001,P010,101
2026-06-01,S001,P011,79
2026-06-01,S001,P012,51
2026-06-01,S001,P017,83
2026-06-01,S001,P013,75
2026-06-01,S001,P018,47
2026-06-01,S001,P020,44
2026-06-01,S001,P021,99
2026-06-01,S001,P022,58
2026-06-01,S001,P019,62
2026-06-01,S001,P023,80
2026-06-01,S001,P024,82
2026-06-01,S001,P025,48
2026-06-01,S001,P026,81
2026-06-01,S001,P027,59
2026-06-01,S001,P028,90
2026-06-01,S001,P029,86
2026-06-01,S001,P030,93
2026-06-01,S001,P031,83
2026-06-01,S001,P032,73
2026-06-01,S002,P001,62
2026-06-01,S002,P002,76
2026-06-01,S002,P003,84
2026-06-01,S002,P004,66
2026-06-01,S002,P014,98
2026-06-01,S002,P015,103
2026-06-01,S002,P005,45
2026-06-01,S002,P006,95
2026-06-01,S002,P007,93
2026-06-01,S002,P008,101
2026-06-01,S002,P016,91
2026-06-01,S002,P009,75
2026-06-01,S002,P010,66
2026-06-01,S002,P011,60
2026-06-01,S002,P012,53
2026-06-01,S002,P017,57
2026-06-01,S002,P013,98
2026-06-01,S002,P018,65
2026-06-01,S002,P020,48
2026-06-01,S002,P021,101
2026-06-01,S002,P022,69
2026-06-01,S002,P019,48
2026-06-01,S002,P023,66
2026-06-01,S002,P024,103
2026-06-01,S002,P025,71
2026-06-01,S002,P026,86
2026-06-01,S002,P027,65
2026-06-01,S002,P028,101
2026-06-01,S002,P029,50
2026-06-01,S002,P030,93
2026-06-01,S002,P031,78
2026-06-01,S002,P032,78
2026-06-01,S003,P001,56
2026-06-01,S003,P002,108
2026-06-01,S003,P003,74
2026-06-01,S003,P004,51
2026-06-01,S003,P014,85
2026-06-01,S003,P015,67
2026-06-01,S003,P005,96
2026-06-01,S003,P006,87
2026-06-01,S003,P007,88
2026-06-01,S003,P008,103
2026-06-01,S003,P016,102
2026-06-01,S003,P009,69
2026-06-01,S003,P010,81
2026-06-01,S003,P011,60
2026-06-01,S003,P012,87
2026-06-01,S003,P017,51
2026-06-01,S003,P013,51
2026-06-01,S003,P018,90
2026-06-01,S003,P020,62
2026-06-01,S003,P021,97
2026-06-01,S003,P022,62
2026-06-01,S003,P019,51
2026-06-01,S003,P023,100
2026-06-01,S003,P024,62
2026-06-01,S003,P025,101
2026-06-01,S003,P026,55
2026-06-01,S003,P027,35
2026-06-01,S003,P028,66
2026-06-01,S003,P029,74
2026-06-01,S003,P030,88
2026-06-01,S003,P031,100
2026-06-01,S003,P032,72
2026-06-02,S001,P001,83
2026-06-02,S001,P002,55
2026-06-02,S001,P003,45
2026-06-02,S001,P004,93
2026-06-02,S001,P014,64
2026-06-02,S001,P015,63
2026-06-02,S001,P005,49
2026-06-02,S001,P006,49
2026-06-02,S001,P007,89
2026-06-02,S001,P008,419
2026-06-02,S001,P016,82
2026-06-02,S001,P009,82
2026-06-02,S001,P010,94
2026-06-02,S001,P011,73
2026-06-02,S001,P012,84
2026-06-02,S001,P017,80
2026-06-02,S001,P013,70
2026-06-02,S001,P018,41
2026-06-02,S001,P020,34
2026-06-02,S001,P021,93
2026-06-02,S001,P022,49
2026-06-02,S001,P019,62
2026-06-02,S001,P023,76
2026-06-02,S001,P024,82
2026-06-02,S001,P025,45
2026-06-02,S001,P026,76
2026-06-02,S001,P027,54
2026-06-02,S001,P028,85
2026-06-02,S001,P029,85
2026-06-02,S001,P030,92
2026-06-02,S001,P031,81
2026-06-02,S001,P032,69
2026-06-02,S002,P001,61
2026-06-02,S002,P002,75
2026-06-02,S002,P003,83
2026-06-02,S002,P004,66
2026-06-02,S002,P014,96
2026-06-02,S002,P015,101
2026-06-02,S002,P005,40
2026-06-02,S002,P006,91
2026-06-02,S002,P007,87
2026-06-02,S002,P008,96
2026-06-02,S002,P016,87
2026-06-02,S002,P009,74
2026-06-02,S002,P010,62
2026-06-02,S002,P011,54
2026-06-02,S002,P012,50
2026-06-02,S002,P017,51
2026-06-02,S002,P013,96
2026-06-02,S002,P018,63
2026-06-02,S002,P020,45
2026-06-02,S002,P021,96
2026-06-02,S002,P022,67
2026-06-02,S002,P019,43
2026-06-02,S002,P023,64
2026-06-02,S002,P024,102
2026-06-02,S002,P025,68
2026-06-02,S002,P026,84
2026-06-02,S002,P027,64
2026-06-02,S002,P028,99
2026-06-02,S002,P029,45
2026-06-02,S002,P030,88
2026-06-02,S002,P031,75
2026-06-02,S002,P032,75
2026-06-02,S003,P001,55
2026-06-02,S003,P002,108
2026-06-02,S003,P003,74
2026-06-02,S003,P004,48
2026-06-02,S003,P014,82
2026-06-02,S003,P015,66
2026-06-02,S003,P005,91
2026-06-02,S003,P006,81
2026-06-02,S003,P007,82
2026-06-02,S003,P008,100
2026-06-02,S003,P016,97
2026-06-02,S003,P009,65
2026-06-02,S003,P010,75
2026-06-02,S003,P011,56
2026-06-02,S003,P012,82
2026-06-02,S003,P017,48
2026-06-02,S003,P013,47
2026-06-02,S003,P018,84
2026-06-02,S003,P020,57
2026-06-02,S003,P021,95
2026-06-02,S003,P022,60
2026-06-02,S003,P019,49
2026-06-02,S003,P023,98
2026-06-02,S003,P024,60
2026-06-02,S003,P025,100
2026-06-02,S003,P026,54
2026-06-02,S003,P027,35
2026-06-02,S003,P028,63
2026-06-02,S003,P029,73
2026-06-02,S003,P030,85
2026-06-02,S003,P031,99
2026-06-02,S003,P032,69
2026-06-03,S001,P001,80
2026-06-03,S001,P002,54
2026-06-03,S001,P003,41
2026-06-03,S001,P004,91
2026-06-03,S001,P014,63
2026-06-03,S001,P015,60
2026-06-03,S001,P005,46
2026-06-03,S001,P006,45
2026-06-03,S001,P007,86
2026-06-03,S001,P008,415
2026-06-03,S001,P016,74
2026-06-03,S001,P009,81
2026-06-03,S001,P010,92
2026-06-03,S001,P011,65
2026-06-03,S001,P012,77
2026-06-03,S001,P017,74
2026-06-03,S001,P013,67
2026-06-03,S001,P018,36
2026-06-03,S001,P020,30
2026-06-03,S001,P021,90
2026-06-03,S001,P022,43
2026-06-03,S001,P019,58
2026-06-03,S001,P023,74
2026-06-03,S001,P024,79
2026-06-03,S001,P025,42
2026-06-03,S001,P026,71
2026-06-03,S001,P027,52
2026-06-03,S001,P028,81
2026-06-03,S001,P029,83
2026-06-03,S001,P030,86
2026-06-03,S001,P031,79
2026-06-03,S001,P032,65
2026-06-03,S002,P001,56
2026-06-03,S002,P002,73
2026-06-03,S002,P003,80
2026-06-03,S002,P004,64
2026-06-03,S002,P014,94
2026-06-03,S002,P015,96
2026-06-03,S002,P005,35
2026-06-03,S002,P006,89
2026-06-03,S002,P007,83
2026-06-03,S002,P008,89
2026-06-03,S002,P016,82
2026-06-03,S002,P009,64
2026-06-03,S002,P010,58
2026-06-03,S002,P011,52
2026-06-03,S002,P012,47
2026-06-03,S002,P017,46
2026-06-03,S002,P013,90
2026-06-03,S002,P018,58
2026-06-03,S002,P020,42
2026-06-03,S002,P021,91
2026-06-03,S002,P022,63
2026-06-03,S002,P019,40
2026-06-03,S002,P023,63
2026-06-03,S002,P024,100
2026-06-03,S002,P025,62
2026-06-03,S002,P026,82
2026-06-03,S002,P027,62
2026-06-03,S002,P028,97
2026-06-03,S002,P029,101
2026-06-03,S002,P030,83
2026-06-03,S002,P031,67
2026-06-03,S002,P032,73
2026-06-03,S003,P001,54
2026-06-03,S003,P002,106
2026-06-03,S003,P003,71
2026-06-03,S003,P004,47
2026-06-03,S003,P014,80
2026-06-03,S003,P015,63
2026-06-03,S003,P005,85
2026-06-03,S003,P006,78
2026-06-03,S003,P007,79
2026-06-03,S003,P008,94
2026-06-03,S003,P016,95
2026-06-03,S003,P009,60
2026-06-03,S003,P010,69
2026-06-03,S003,P011,53
2026-06-03,S003,P012,76
2026-06-03,S003,P017,43
2026-06-03,S003,P013,47
2026-06-03,S003,P018,79
2026-06-03,S003,P020,51
2026-06-03,S003,P021,95
2026-06-03,S003,P022,56
2026-06-03,S003,P019,48
2026-06-03,S003,P023,97
2026-06-03,S003,P024,59
2026-06-03,S003,P025,97
2026-06-03,S003,P026,53
2026-06-03,S003,P027,35
2026-06-03,S003,P028,63
2026-06-03,S003,P029,70
2026-06-03,S003,P030,82
2026-06-03,S003,P031,98
2026-06-03,S003,P032,67
2026-06-04,S001,P001,76
2026-06-04,S001,P002,52
2026-06-04,S001,P003,40
2026-06-04,S001,P004,91
2026-06-04,S001,P014,62
2026-06-04,S001,P015,57
2026-06-04,S001,P005,42
2026-06-04,S001,P006,36
2026-06-04,S001,P007,78
2026-06-04,S001,P008,412
2026-06-04,S001,P016,66
2026-06-04,S001,P009,75
2026-06-04,S001,P010,83
2026-06-04,S001,P011,54
2026-06-04,S001,P012,70
2026-06-04,S001,P017,66
2026-06-04,S001,P013,63
2026-06-04,S001,P018,31
2026-06-04,S001,P020,28
2026-06-04,S001,P021,85
2026-06-04,S001,P022,40
2026-06-04,S001,P019,51
2026-06-04,S001,P023,73
2026-06-04,S001,P024,78
2026-06-04,S001,P025,41
2026-06-04,S001,P026,68
2026-06-04,S001,P027,51
2026-06-04,S001,P028,78
2026-06-04,S001,P029,76
2026-06-04,S001,P030,86
2026-06-04,S001,P031,76
2026-06-04,S001,P032,62
2026-06-04,S002,P001,55
2026-06-04,S002,P002,68
2026-06-04,S002,P003,78
2026-06-04,S002,P004,61
2026-06-04,S002,P014,91
2026-06-04,S002,P015,94
2026-06-04,S002,P005,72
2026-06-04,S002,P006,84
2026-06-04,S002,P007,78
2026-06-04,S002,P008,86
2026-06-04,S002,P016,74
2026-06-04,S002,P009,57
2026-06-04,S002,P010,55
2026-06-04,S002,P011,51
2026-06-04,S002,P012,42
2026-06-04,S002,P017,43
2026-06-04,S002,P013,86
2026-06-04,S002,P018,55
2026-06-04,S002,P020,40
2026-06-04,S002,P021,88
2026-06-04,S002,P022,58
2026-06-04,S002,P019,34
2026-06-04,S002,P023,59
2026-06-04,S002,P024,98
2026-06-04,S002,P025,59
2026-06-04,S002,P026,79
2026-06-04,S002,P027,59
2026-06-04,S002,P028,97
2026-06-04,S002,P029,98
2026-06-04,S002,P030,79
2026-06-04,S002,P031,63
2026-06-04,S002,P032,71
2026-06-04,S003,P001,52
2026-06-04,S003,P002,106
2026-06-04,S003,P003,71
2026-06-04,S003,P004,46
2026-06-04,S003,P014,79
2026-06-04,S003,P015,62
2026-06-04,S003,P005,82
2026-06-04,S003,P006,72
2026-06-04,S003,P007,74
2026-06-04,S003,P008,90
2026-06-04,S003,P016,91
2026-06-04,S003,P009,55
2026-06-04,S003,P010,63
2026-06-04,S003,P011,48
2026-06-04,S003,P012,73
2026-06-04,S003,P017,37
2026-06-04,S003,P013,41
2026-06-04,S003,P018,73
2026-06-04,S003,P020,50
2026-06-04,S003,P021,93
2026-06-04,S003,P022,50
2026-06-04,S003,P019,46
2026-06-04,S003,P023,95
2026-06-04,S003,P024,58
2026-06-04,S003,P025,97
2026-06-04,S003,P026,51
2026-06-04,S003,P027,35
2026-06-04,S003,P028,60
2026-06-04,S003,P029,69
2026-06-04,S003,P030,80
2026-06-04,S003,P031,96
2026-06-04,S003,P032,65
2026-06-05,S001,P001,75
2026-06-05,S001,P002,49
2026-06-05,S001,P003,38
2026-06-05,S001,P004,90
2026-06-05,S001,P014,58
2026-06-05,S001,P015,54
2026-06-05,S001,P005,34
2026-06-05,S001,P006,33
2026-06-05,S001,P007,74
2026-06-05,S001,P008,407
2026-06-05,S001,P016,61
2026-06-05,S001,P009,65
2026-06-05,S001,P010,77
2026-06-05,S001,P011,47
2026-06-05,S001,P012,66
2026-06-05,S001,P017,63
2026-06-05,S001,P013,56
2026-06-05,S001,P018,29
2026-06-05,S001,P020,26
2026-06-05,S001,P021,81
2026-06-05,S001,P022,38
2026-06-05,S001,P019,47
2026-06-05,S001,P023,65
2026-06-05,S001,P024,77
2026-06-05,S001,P025,38
2026-06-05,S001,P026,64
2026-06-05,S001,P027,47
2026-06-05,S001,P028,70
2026-06-05,S001,P029,71
2026-06-05,S001,P030,85
2026-06-05,S001,P031,70
2026-06-05,S001,P032,56
2026-06-05,S002,P001,54
